ID;Latitude;Longitude;location_type;locality
81697294000154;-25.4272029;-49.2687792;ROOFTOP;street_number
10571343000160;-25.4104245;-49.2555181;ROOFTOP;street_number
85039618000118;-25.4071231;-49.2555354;ROOFTOP;street_number
08960623000118;-25.4170605;-49.2542477;ROOFTOP;street_number
00296112000131;-25.4265569;-49.2538443;ROOFTOP;street_number
05289078000191;-25.4304262;-49.2492796;RANGE_INTERPOLATED;street_number
03484328000119;-25.4276455;-49.2443215;ROOFTOP;street_number
06222506000121;-25.4332068;-49.2549785;ROOFTOP;street_number
81110082000129;-25.4341848;-49.23934329999999;ROOFTOP;street_number
04958760000167;-25.4354229;-49.25006;ROOFTOP;street_number
05483616000184;-25.4340568;-49.2615455;RANGE_INTERPOLATED;street_number
05483837000152;-25.4353617;-49.2537378;ROOFTOP;street_number
81110082000200;-25.430356;-49.2649353;ROOFTOP;street_number
01730893000193;-25.4387391;-49.2514531;RANGE_INTERPOLATED;street_number
07940128000184;-25.4425398;-49.2560724;ROOFTOP;street_number
